Year,NOC,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index,Lagged_Total_Medals,Lagged_2_Total_Medals,Lagged_3_Total_Medals,Is_Host,Has_Medal_before,Total,Gold,Silver,Bronze
1960,AHO,11.0,1.0,1.0,338.0,69.0,0.00033647375504710633,0.014492753623188406,0.023216689098250337,1.0,0.0,,,0,0,0,0,0,0
1964,AHO,5.0,4.0,1.0,340.0,84.0,0.001188001188001188,0.011904761904761904,0.09979209979209978,4.0,0.0,0.0,,0,0,0,0,0,0
1968,AHO,4.0,4.0,2.0,370.0,93.0,0.0012380068090374497,0.010752688172043012,0.11513463324048281,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1972,AHO,5.0,4.0,2.0,386.0,112.0,0.0010857763300760044,0.008928571428571428,0.1216069489685125,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1976,AHO,2.0,2.0,2.0,439.0,121.0,0.0004534119247336205,0.008264462809917356,0.05486284289276808,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1984,AHO,4.0,4.0,2.0,444.0,92.0,0.0010649627263045794,0.010869565217391304,0.09797657082002131,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1988,AHO,8.0,10.0,3.0,492.0,140.0,0.00222568439795237,0.007142857142857143,0.31159581571333184,3.3333333333333335,0.0,0.0,0.0,0,0,1,0,1,0
1992,AHO,3.0,4.0,3.0,528.0,159.0,0.0006931207762952695,0.006289308176100629,0.11020620343094784,1.3333333333333333,1.0,0.0,0.0,0,1,0,0,0,0
1996,AHO,4.0,4.0,3.0,573.0,168.0,0.0006378568011481422,0.005952380952380952,0.1071599425928879,1.3333333333333333,0.0,1.0,0.0,0,1,0,0,0,0
2000,AHO,6.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0.0,0.0,1.0,0,1,0,0,0,0
2004,AHO,7.0,8.0,6.0,667.0,199.0,0.0011396011396011395,0.005025125628140704,0.22678062678062677,1.3333333333333333,0.0,0.0,0.0,0,1,0,0,0,0
2008,AHO,3.0,3.0,2.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5,0.0,0.0,0.0,0,1,0,0,0,0
1972,ALB,,,,,,,,,,,,,0,0,0,0,0,0
1992,ALB,5.0,3.0,2.0,439.0,121.0,0.0006801178871004307,0.008264462809917356,0.08229426433915212,1.5,0.0,,,0,0,0,0,0,0
1996,ALB,7.0,8.0,4.0,573.0,168.0,0.0012757136022962844,0.005952380952380952,0.2143198851857758,2.0,0.0,0.0,,0,0,0,0,0,0
2000,ALB,7.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0.0,0.0,0.0,0,0,0,0,0,0
2004,ALB,4.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2008,ALB,7.0,7.0,4.0,669.0,201.0,0.001020259437399796,0.004975124378109453,0.205072146917359,1.75,0.0,0.0,0.0,0,0,0,0,0,0
2012,ALB,11.0,12.0,6.0,673.0,204.0,0.001695633743111488,0.004901960784313725,0.34590928359474354,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,ALB,9.0,9.0,5.0,670.0,204.0,0.0012866333095067906,0.004901960784313725,0.2624731951393853,1.8,0.0,0.0,0.0,0,0,0,0,0,0
2020,ALB,6.0,6.0,3.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2024,ALB,9.0,10.0,6.0,761.0,205.0,0.0014575134819997085,0.004878048780487805,0.2987902638099402,1.6666666666666667,0.0,0.0,0.0,0,0,2,0,0,2
1964,ALG,,,,,,,,,,,,,0,0,0,0,0,0
1968,ALG,1.0,7.0,1.0,370.0,93.0,0.002166511915815537,0.010752688172043012,0.20148560817084493,7.0,0.0,,,0,0,0,0,0,0
1972,ALG,3.0,9.0,2.0,386.0,112.0,0.0024429967426710096,0.008928571428571428,0.2736156351791531,4.5,0.0,0.0,,0,0,0,0,0,0
1980,ALG,5.0,5.0,2.0,439.0,121.0,0.0011335298118340512,0.008264462809917356,0.1371571072319202,2.5,0.0,0.0,0.0,0,0,0,0,0,0
1984,ALG,54.0,28.0,9.0,454.0,80.0,0.008769182586908864,0.0125,0.7015346069527091,3.111111111111111,0.0,0.0,0.0,0,0,2,0,0,2
1988,ALG,33.0,17.0,4.0,492.0,140.0,0.0037836634765190296,0.007142857142857143,0.5297128867126641,4.25,2.0,0.0,0.0,0,1,0,0,0,0
1992,ALG,42.0,29.0,7.0,528.0,159.0,0.005025125628140704,0.006289308176100629,0.7989949748743719,4.142857142857143,0.0,2.0,0.0,0,1,2,1,0,1
1996,ALG,35.0,27.0,7.0,573.0,168.0,0.00430553340774996,0.005952380952380952,0.7233296125019933,3.857142857142857,2.0,0.0,2.0,0,1,3,2,0,1
2000,ALG,45.0,29.0,9.0,604.0,197.0,0.0042817067769083126,0.005076142131979695,0.8434962350509376,3.2222222222222223,3.0,2.0,0.0,0,1,5,1,1,3
2004,ALG,47.0,42.0,10.0,667.0,199.0,0.005982905982905983,0.005025125628140704,1.1905982905982906,4.2,5.0,3.0,2.0,0,1,0,0,0,0
2008,ALG,61.0,57.0,10.0,669.0,201.0,0.008307826847398338,0.004975124378109453,1.6698731963270659,5.7,0.0,5.0,3.0,0,1,2,0,1,1
2012,ALG,56.0,44.0,12.0,673.0,204.0,0.0062173237247421225,0.004901960784313725,1.268334039847393,3.6666666666666665,2.0,0.0,5.0,0,1,1,1,0,0
2016,ALG,38.0,29.0,12.0,670.0,204.0,0.004145818441744103,0.004901960784313725,0.845746962115797,2.4166666666666665,1.0,2.0,0.0,0,1,2,0,2,0
2020,ALG,64.0,48.0,13.0,682.0,205.0,0.006761515706437527,0.004878048780487805,1.386110719819693,3.6923076923076925,2.0,1.0,2.0,0,1,0,0,0,0
2024,ALG,41.0,43.0,15.0,761.0,205.0,0.006267307972598747,0.004878048780487805,1.284798134382743,2.8666666666666667,0.0,2.0,1.0,0,1,3,2,0,1
1976,AND,,,,,,,,,,,,,0,0,0,0,0,0
1980,AND,3.0,2.0,2.0,444.0,92.0,0.0005324813631522897,0.010869565217391304,0.04898828541001066,1.0,0.0,,,0,0,0,0,0,0
1984,AND,2.0,1.0,1.0,454.0,80.0,0.00031318509238960227,0.0125,0.02505480739116818,1.0,0.0,0.0,,0,0,0,0,0,0
1988,AND,2.0,1.0,1.0,492.0,140.0,0.00022256843979523704,0.007142857142857143,0.031159581571333188,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1992,AND,3.0,3.0,2.0,528.0,159.0,0.0005198405822214521,0.006289308176100629,0.08265465257321088,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1996,AND,8.0,5.0,5.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,AND,8.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0.0,0.0,0.0,0,0,0,0,0,0
2004,AND,5.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2008,AND,6.0,6.0,4.0,669.0,201.0,0.0008745080891998251,0.004975124378109453,0.17577612592916486,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,AND,5.0,5.0,4.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.25,0.0,0.0,0.0,0,0,0,0,0,0
2016,AND,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2020,AND,4.0,4.0,4.0,682.0,205.0,0.0005634596422031273,0.004878048780487805,0.11550922665164108,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2024,AND,2.0,3.0,2.0,761.0,205.0,0.00043725404459991256,0.004878048780487805,0.08963707914298208,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1980,ANG,,,,,,,,,,,,,0,0,0,0,0,0
1988,ANG,11.0,14.0,3.0,454.0,80.0,0.004384591293454432,0.0125,0.35076730347635454,4.666666666666667,0.0,,,0,0,0,0,0,0
1992,ANG,24.0,27.0,4.0,528.0,159.0,0.004678565239993069,0.006289308176100629,0.7438918731588979,6.75,0.0,0.0,,0,0,0,0,0,0
1996,ANG,28.0,21.0,6.0,573.0,168.0,0.003348748206027747,0.005952380952380952,0.5625896986126615,3.5,0.0,0.0,0.0,0,0,0,0,0,0
2000,ANG,28.0,8.0,5.0,604.0,197.0,0.0011811604901816035,0.005076142131979695,0.2326886165657759,1.6,0.0,0.0,0.0,0,0,0,0,0,0
2004,ANG,30.0,7.0,5.0,667.0,199.0,0.0009971509971509972,0.005025125628140704,0.19843304843304843,1.4,0.0,0.0,0.0,0,0,0,0,0,0
2008,ANG,30.0,5.0,5.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2012,ANG,32.0,8.0,6.0,673.0,204.0,0.0011304224954076585,0.004901960784313725,0.23060618906316235,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2016,ANG,33.0,10.0,6.0,670.0,204.0,0.0014295925661186562,0.004901960784313725,0.2916368834882059,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2020,ANG,26.0,10.0,7.0,682.0,205.0,0.001408649105507818,0.004878048780487805,0.2887730666291027,1.4285714285714286,0.0,0.0,0.0,0,0,0,0,0,0
2024,ANG,20.0,6.0,5.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.2,0.0,0.0,0.0,0,0,0,0,0,0
1976,ANT,,,,,,,,,,,,,0,0,0,0,0,0
1984,ANT,10.0,11.0,2.0,444.0,92.0,0.0029286474973375934,0.010869565217391304,0.2694355697550586,5.5,0.0,,,0,0,0,0,0,0
1988,ANT,14.0,17.0,3.0,492.0,140.0,0.0037836634765190296,0.007142857142857143,0.5297128867126641,5.666666666666667,0.0,0.0,,0,0,0,0,0,0
1992,ANT,15.0,19.0,4.0,528.0,159.0,0.00329232368740253,0.006289308176100629,0.5234794662970023,4.75,0.0,0.0,0.0,0,0,0,0,0,0
1996,ANT,13.0,15.0,3.0,573.0,168.0,0.0023919630043055333,0.005952380952380952,0.4018497847233296,5.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,ANT,13.0,9.0,4.0,604.0,197.0,0.0013288055514543038,0.005076142131979695,0.26177469363649786,2.25,0.0,0.0,0.0,0,0,0,0,0,0
2004,ANT,3.0,4.0,2.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,ANT,5.0,5.0,2.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,2.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,ANT,5.0,5.0,2.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,2.5,0.0,0.0,0.0,0,0,0,0,0,0
2016,ANT,4.0,4.0,2.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2020,ANT,8.0,5.0,2.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,2.5,0.0,0.0,0.0,0,0,0,0,0,0
2024,ANT,6.0,6.0,4.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1908,ANZ,,,,,,,,,,,,,0,0,5,1,2,2
1912,ANZ,30.0,20.0,6.0,267.0,22.0,0.029542097488921712,0.045454545454545456,0.6499261447562776,3.3333333333333335,5.0,,,0,1,7,2,2,3
1900,ARG,,,,,,,,,,,,,0,0,0,0,0,0
1908,ARG,1.0,1.0,1.0,236.0,31.0,0.0024937655860349127,0.03225806451612903,0.0773067331670823,1.0,0.0,,,0,0,0,0,0,0
1920,ARG,1.0,1.0,1.0,267.0,22.0,0.0014771048744460858,0.045454545454545456,0.03249630723781389,1.0,0.0,0.0,,0,0,0,0,0,0
1924,ARG,1.0,1.0,1.0,363.0,29.0,0.0008312551953449709,0.034482758620689655,0.024106400665004156,1.0,0.0,0.0,0.0,0,0,6,1,3,2
1928,ARG,77.0,39.0,11.0,292.0,44.0,0.024103831891223733,0.022727272727272728,1.0605686032138442,3.5454545454545454,6.0,0.0,0.0,0,1,7,3,3,1
1932,ARG,81.0,40.0,12.0,252.0,46.0,0.02610966057441253,0.021739130434782608,1.2010443864229765,3.3333333333333335,7.0,6.0,0.0,0,1,0,0,0,0
1936,ARG,32.0,29.0,6.0,268.0,37.0,0.03314285714285714,0.02702702702702703,1.2262857142857142,4.833333333333333,0.0,7.0,6.0,0,1,7,2,2,3
1948,ARG,51.0,31.0,8.0,302.0,49.0,0.015048543689320388,0.02040816326530612,0.7373786407766991,3.875,7.0,0.0,7.0,0,1,7,3,3,1
1952,ARG,199.0,101.0,16.0,312.0,59.0,0.04568068747173225,0.01694915254237288,2.6951605608322025,6.3125,7.0,7.0,0.0,0,1,5,1,2,2
1956,ARG,123.0,77.0,15.0,338.0,69.0,0.025908479138627188,0.014492753623188406,1.7876850605652759,5.133333333333334,5.0,7.0,7.0,0,1,2,0,1,1
1960,ARG,35.0,32.0,9.0,342.0,72.0,0.014739751266697375,0.013888888888888888,1.061262091202211,3.5555555555555554,2.0,5.0,7.0,0,1,0,0,0,0
1964,ARG,92.0,54.0,15.0,340.0,84.0,0.016038016038016037,0.011904761904761904,1.3471933471933473,3.6,0.0,2.0,5.0,0,1,1,0,1,0
1968,ARG,102.0,78.0,14.0,370.0,93.0,0.02414113277623027,0.010752688172043012,2.245125348189415,5.571428571428571,1.0,0.0,2.0,0,1,2,0,0,2
1972,ARG,89.0,60.0,12.0,386.0,112.0,0.016286644951140065,0.008928571428571428,1.8241042345276874,5.0,2.0,1.0,0.0,0,1,1,0,1,0
1976,ARG,92.0,62.0,12.0,439.0,121.0,0.014055769666742235,0.008264462809917356,1.7007481296758105,5.166666666666667,1.0,2.0,1.0,0,1,0,0,0,0
1984,ARG,69.0,50.0,12.0,444.0,92.0,0.013312034078807242,0.010869565217391304,1.2247071352502663,4.166666666666667,0.0,1.0,2.0,0,1,0,0,0,0
1988,ARG,81.0,70.0,14.0,492.0,140.0,0.015579790785666592,0.007142857142857143,2.181170709993323,5.0,0.0,0.0,1.0,0,1,2,0,1,1
1992,ARG,118.0,53.0,18.0,528.0,159.0,0.00918385028591232,0.006289308176100629,1.4602321954600588,2.9444444444444446,2.0,0.0,0.0,0,1,1,0,0,1
1996,ARG,84.0,68.0,17.0,573.0,168.0,0.010843565619518419,0.005952380952380952,1.8217190240790944,4.0,1.0,2.0,0.0,0,1,3,0,2,1
2000,ARG,179.0,102.0,20.0,604.0,197.0,0.015059796249815443,0.005076142131979695,2.9667798612136425,5.1,3.0,1.0,2.0,0,1,4,0,2,2
2004,ARG,142.0,98.0,21.0,667.0,199.0,0.01396011396011396,0.005025125628140704,2.7780626780626783,4.666666666666667,4.0,3.0,1.0,0,1,6,2,0,4
2008,ARG,151.0,86.0,22.0,669.0,201.0,0.012534615945197494,0.004975124378109453,2.5194578049846963,3.909090909090909,6.0,4.0,3.0,0,1,6,2,0,4
2012,ARG,131.0,71.0,19.0,673.0,204.0,0.01003249964674297,0.004901960784313725,2.046629927935566,3.736842105263158,6.0,6.0,4.0,0,1,4,1,1,2
2016,ARG,137.0,66.0,23.0,670.0,204.0,0.009435310936383131,0.004901960784313725,1.924803431022159,2.869565217391304,4.0,6.0,6.0,0,1,4,3,1,0
2020,ARG,215.0,80.0,26.0,682.0,205.0,0.011269192844062545,0.004878048780487805,2.3101845330328215,3.076923076923077,4.0,4.0,6.0,0,1,3,0,1,2
2024,ARG,189.0,61.0,31.0,761.0,205.0,0.008890832240198222,0.004878048780487805,1.8226206092406354,1.967741935483871,3.0,4.0,4.0,0,1,3,1,1,1
1996,ARM,,,,,,,,,,,,,0,0,2,1,1,0
2000,ARM,32.0,36.0,11.0,604.0,197.0,0.005315222205817215,0.005076142131979695,1.0470987745459914,3.272727272727273,2.0,,,0,1,1,0,0,1
2004,ARM,25.0,26.0,10.0,667.0,199.0,0.003703703703703704,0.005025125628140704,0.737037037037037,2.6,1.0,2.0,,0,1,0,0,0,0
2008,ARM,18.0,19.0,8.0,669.0,201.0,0.002769275615799446,0.004975124378109453,0.5566243987756887,2.375,0.0,1.0,2.0,0,1,5,0,1,4
2012,ARM,24.0,24.0,7.0,673.0,204.0,0.003391267486222976,0.004901960784313725,0.6918185671894871,3.4285714285714284,5.0,0.0,1.0,0,1,2,0,1,1
2016,ARM,24.0,30.0,9.0,670.0,204.0,0.004288777698355968,0.004901960784313725,0.8749106504646176,3.3333333333333335,2.0,5.0,0.0,0,1,4,1,3,0
2020,ARM,31.0,32.0,8.0,682.0,205.0,0.004507677137625018,0.004878048780487805,0.9240738132131286,4.0,4.0,2.0,5.0,0,1,4,0,2,2
2024,ARM,17.0,19.0,8.0,761.0,205.0,0.002769275615799446,0.004878048780487805,0.5677015012388864,2.375,4.0,4.0,2.0,0,1,4,0,3,1
1988,ARU,,,,,,,,,,,,,0,0,0,0,0,0
1992,ARU,8.0,10.0,5.0,528.0,159.0,0.0017328019407381737,0.006289308176100629,0.2755155085773696,2.0,0.0,,,0,0,0,0,0,0
1996,ARU,5.0,4.0,3.0,573.0,168.0,0.0006378568011481422,0.005952380952380952,0.1071599425928879,1.3333333333333333,0.0,0.0,,0,0,0,0,0,0
2000,ARU,3.0,3.0,3.0,604.0,197.0,0.0004429351838181013,0.005076142131979695,0.08725823121216596,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,ARU,5.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2008,ARU,4.0,4.0,3.0,669.0,201.0,0.0005830053927998834,0.004975124378109453,0.11718408395277656,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2012,ARU,2.0,2.0,2.0,673.0,204.0,0.00028260562385191464,0.004901960784313725,0.05765154726579059,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,ARU,4.0,4.0,3.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2020,ARU,7.0,6.0,4.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2024,ARU,3.0,4.0,2.0,761.0,205.0,0.0005830053927998834,0.004878048780487805,0.1195161055239761,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1988,ASA,,,,,,,,,,,,,0,0,0,0,0,0
1992,ASA,6.0,6.0,4.0,528.0,159.0,0.0010396811644429042,0.006289308176100629,0.16530930514642175,1.5,0.0,,,0,0,0,0,0,0
1996,ASA,3.0,3.0,2.0,573.0,168.0,0.0004783926008611067,0.005952380952380952,0.08036995694466594,1.5,0.0,0.0,,0,0,0,0,0,0
2000,ASA,7.0,6.0,5.0,604.0,197.0,0.0008858703676362026,0.005076142131979695,0.17451646242433191,1.2,0.0,0.0,0.0,0,0,0,0,0,0
2004,ASA,4.0,4.0,3.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2008,ASA,3.0,3.0,2.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,ASA,4.0,4.0,3.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2016,ASA,4.0,4.0,3.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2020,ASA,4.0,4.0,3.0,682.0,205.0,0.0005634596422031273,0.004878048780487805,0.11550922665164108,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2024,ASA,6.0,5.0,4.0,761.0,205.0,0.0007287567409998542,0.004878048780487805,0.1493951319049701,1.25,0.0,0.0,0.0,0,0,0,0,0,0
1896,AUS,,,,,,,,,,,,,0,0,2,2,0,0
1900,AUS,1.0,5.0,2.0,107.0,12.0,0.029585798816568046,0.08333333333333333,0.35502958579881655,2.5,2.0,,,0,1,5,2,0,3
1904,AUS,2.0,6.0,2.0,236.0,31.0,0.014962593516209476,0.03225806451612903,0.46384039900249374,3.0,5.0,2.0,,0,1,4,0,3,1
1920,AUS,2.0,6.0,2.0,224.0,15.0,0.03208556149732621,0.06666666666666667,0.4812834224598931,3.0,4.0,5.0,2.0,0,1,3,0,2,1
1924,AUS,13.0,19.0,5.0,363.0,29.0,0.015793848711554447,0.034482758620689655,0.45802161263507896,3.8,3.0,4.0,5.0,0,1,6,3,1,2
1928,AUS,35.0,30.0,8.0,292.0,44.0,0.018541409147095178,0.022727272727272728,0.8158220024721878,3.75,6.0,3.0,4.0,0,1,4,1,2,1
1932,AUS,18.0,26.0,6.0,252.0,46.0,0.016971279373368148,0.021739130434782608,0.7806788511749349,4.333333333333333,4.0,6.0,3.0,0,1,0,0,0,0
1936,AUS,12.0,16.0,5.0,268.0,37.0,0.018285714285714287,0.02702702702702703,0.6765714285714286,3.2,0.0,4.0,6.0,0,1,1,0,0,1
1948,AUS,32.0,26.0,7.0,302.0,49.0,0.01262135922330097,0.02040816326530612,0.6184466019417476,3.7142857142857144,1.0,0.0,4.0,0,1,13,2,6,5
1952,AUS,75.0,52.0,11.0,312.0,59.0,0.023518769787426504,0.01694915254237288,1.3876074174581638,4.7272727272727275,13.0,1.0,0.0,0,1,11,6,2,3
1956,AUS,81.0,67.0,12.0,338.0,69.0,0.022543741588156124,0.014492753623188406,1.5555181695827724,5.583333333333333,11.0,13.0,1.0,1,1,35,13,8,14
1960,AUS,298.0,143.0,19.0,342.0,72.0,0.0658682634730539,0.013888888888888888,4.742514970059881,7.526315789473684,35.0,11.0,13.0,0,1,0,0,0,0
1964,AUS,189.0,122.0,17.0,340.0,84.0,0.03623403623403623,0.011904761904761904,3.043659043659044,7.176470588235294,0.0,35.0,11.0,0,1,18,6,2,10
1968,AUS,243.0,133.0,19.0,370.0,93.0,0.041163726400495204,0.010752688172043012,3.8282265552460535,7.0,18.0,0.0,35.0,0,1,17,5,7,5
1972,AUS,128.0,105.0,16.0,386.0,112.0,0.028501628664495113,0.008928571428571428,3.192182410423453,6.5625,17.0,18.0,0.0,0,1,17,8,7,2
1976,AUS,168.0,110.0,20.0,439.0,121.0,0.02493765586034913,0.008264462809917356,3.0174563591022445,5.5,17.0,17.0,18.0,0,1,5,0,1,4
1980,AUS,180.0,115.0,20.0,444.0,92.0,0.030617678381256657,0.010869565217391304,2.8168264110756125,5.75,5.0,17.0,17.0,0,1,9,2,2,5
1984,AUS,120.0,92.0,17.0,454.0,80.0,0.028813028499843407,0.0125,2.3050422799874726,5.411764705882353,9.0,5.0,17.0,0,1,24,4,8,12
1988,AUS,242.0,137.0,22.0,492.0,140.0,0.030491876251947474,0.007142857142857143,4.268862675272646,6.2272727272727275,24.0,9.0,5.0,0,1,14,3,6,5
1992,AUS,252.0,145.0,24.0,528.0,159.0,0.02512562814070352,0.006289308176100629,3.9949748743718594,6.041666666666667,14.0,24.0,9.0,0,1,27,7,9,11
1996,AUS,278.0,153.0,25.0,573.0,168.0,0.02439802264391644,0.005952380952380952,4.098867804177962,6.12,27.0,14.0,24.0,0,1,41,9,9,23
2000,AUS,417.0,211.0,26.0,604.0,197.0,0.03115310792853979,0.005076142131979695,6.137162261922339,8.115384615384615,41.0,27.0,14.0,1,1,58,16,25,17
2004,AUS,617.0,270.0,34.0,667.0,199.0,0.038461538461538464,0.005025125628140704,7.653846153846154,7.9411764705882355,58.0,41.0,27.0,0,1,50,17,16,17
2008,AUS,470.0,219.0,33.0,669.0,201.0,0.031919545255793616,0.004975124378109453,6.415828596414517,6.636363636363637,50.0,58.0,41.0,0,1,46,14,15,17
2012,AUS,432.0,219.0,31.0,673.0,204.0,0.030945315811784654,0.004901960784313725,6.312844425604069,7.064516129032258,46.0,50.0,58.0,0,1,35,8,15,12
