Year,NOC,Squad_Size,NOC_Events_Entered,Sport_Diversity,Total,Lagged_Total_Medals,Historical_Total,Is_First_Time_Candidate,Global_Total_Events,Global_Nations_Count,Share_of_Entries,Expected_Share,RCA_Macro,Specialization_Index,Is_Host,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index
1964,AHO,4,4,2,0,0.0,0.0,1,370.0,93,0.0012380068090374497,0.010752688172043012,0.11513463324048281,2.0,0,5.0,4.0,1.0,340.0,84.0,0.001188001188001188,0.011904761904761904,0.09979209979209978,4.0
1968,AHO,5,4,2,0,0.0,0.0,1,386.0,112,0.0010857763300760044,0.008928571428571428,0.1216069489685125,2.0,0,4.0,4.0,2.0,370.0,93.0,0.0012380068090374497,0.010752688172043012,0.11513463324048281,2.0
1972,AHO,2,2,2,0,0.0,0.0,1,439.0,121,0.0004534119247336205,0.008264462809917356,0.05486284289276808,1.0,0,5.0,4.0,2.0,386.0,112.0,0.0010857763300760044,0.008928571428571428,0.1216069489685125,2.0
1976,AHO,4,4,2,0,0.0,0.0,1,444.0,92,0.0010649627263045794,0.010869565217391304,0.09797657082002131,2.0,0,2.0,2.0,2.0,439.0,121.0,0.0004534119247336205,0.008264462809917356,0.05486284289276808,1.0
1984,AHO,8,10,3,0,0.0,0.0,1,492.0,140,0.00222568439795237,0.007142857142857143,0.31159581571333184,3.3333333333333335,0,4.0,4.0,2.0,444.0,92.0,0.0010649627263045794,0.010869565217391304,0.09797657082002131,2.0
1988,AHO,3,4,3,1,0.0,0.0,1,528.0,159,0.0006931207762952695,0.006289308176100629,0.11020620343094784,1.3333333333333333,0,8.0,10.0,3.0,492.0,140.0,0.00222568439795237,0.007142857142857143,0.31159581571333184,3.3333333333333335
1992,AHO,4,4,3,0,1.0,1.0,0,573.0,168,0.0006378568011481422,0.005952380952380952,0.1071599425928879,1.3333333333333333,0,3.0,4.0,3.0,528.0,159.0,0.0006931207762952695,0.006289308176100629,0.11020620343094784,1.3333333333333333
1996,AHO,6,7,5,0,0.0,1.0,0,604.0,197,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0,4.0,4.0,3.0,573.0,168.0,0.0006378568011481422,0.005952380952380952,0.1071599425928879,1.3333333333333333
2000,AHO,7,8,6,0,0.0,1.0,0,667.0,199,0.0011396011396011395,0.005025125628140704,0.22678062678062677,1.3333333333333333,0,6.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4
2004,AHO,3,3,2,0,0.0,1.0,0,669.0,201,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5,0,7.0,8.0,6.0,667.0,199.0,0.0011396011396011395,0.005025125628140704,0.22678062678062677,1.3333333333333333
2008,AHO,3,4,3,0,0.0,1.0,0,673.0,204,0.0005652112477038293,0.004901960784313725,0.11530309453158118,1.3333333333333333,0,3.0,3.0,2.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5
1972,ALB,5,3,2,0,,0.0,1,439.0,121,0.0006801178871004307,0.008264462809917356,0.08229426433915212,1.5,0,,,,,,,,,
1992,ALB,7,8,4,0,0.0,0.0,1,573.0,168,0.0012757136022962844,0.005952380952380952,0.2143198851857758,2.0,0,5.0,3.0,2.0,439.0,121.0,0.0006801178871004307,0.008264462809917356,0.08229426433915212,1.5
1996,ALB,7,7,5,0,0.0,0.0,1,604.0,197,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0,7.0,8.0,4.0,573.0,168.0,0.0012757136022962844,0.005952380952380952,0.2143198851857758,2.0
2000,ALB,4,5,3,0,0.0,0.0,1,667.0,199,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0,7.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4
2004,ALB,7,7,4,0,0.0,0.0,1,669.0,201,0.001020259437399796,0.004975124378109453,0.205072146917359,1.75,0,4.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667
2008,ALB,11,12,6,0,0.0,0.0,1,673.0,204,0.001695633743111488,0.004901960784313725,0.34590928359474354,2.0,0,7.0,7.0,4.0,669.0,201.0,0.001020259437399796,0.004975124378109453,0.205072146917359,1.75
2012,ALB,9,9,5,0,0.0,0.0,1,670.0,204,0.0012866333095067906,0.004901960784313725,0.2624731951393853,1.8,0,11.0,12.0,6.0,673.0,204.0,0.001695633743111488,0.004901960784313725,0.34590928359474354,2.0
2016,ALB,6,6,3,0,0.0,0.0,1,682.0,205,0.0008451894633046908,0.004878048780487805,0.17326383997746161,2.0,0,9.0,9.0,5.0,670.0,204.0,0.0012866333095067906,0.004901960784313725,0.2624731951393853,1.8
2020,ALB,9,10,6,0,0.0,0.0,1,761.0,205,0.0014575134819997085,0.004878048780487805,0.2987902638099402,1.6666666666666667,0,6.0,6.0,3.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,2.0
2024,ALB,8,9,4,2,0.0,0.0,1,738.0,204,0.0014124293785310734,0.004901960784313725,0.288135593220339,2.25,0,9.0,10.0,6.0,761.0,205.0,0.0014575134819997085,0.004878048780487805,0.2987902638099402,1.6666666666666667
1964,ALG,1,7,1,0,,0.0,1,370.0,93,0.002166511915815537,0.010752688172043012,0.20148560817084493,7.0,0,,,,,,,,,
1968,ALG,3,9,2,0,0.0,0.0,1,386.0,112,0.0024429967426710096,0.008928571428571428,0.2736156351791531,4.5,0,1.0,7.0,1.0,370.0,93.0,0.002166511915815537,0.010752688172043012,0.20148560817084493,7.0
1972,ALG,5,5,2,0,0.0,0.0,1,439.0,121,0.0011335298118340512,0.008264462809917356,0.1371571072319202,2.5,0,3.0,9.0,2.0,386.0,112.0,0.0024429967426710096,0.008928571428571428,0.2736156351791531,4.5
1980,ALG,54,28,9,0,0.0,0.0,1,454.0,80,0.008769182586908864,0.0125,0.7015346069527091,3.111111111111111,0,5.0,5.0,2.0,439.0,121.0,0.0011335298118340512,0.008264462809917356,0.1371571072319202,2.5
1984,ALG,33,17,4,2,0.0,0.0,1,492.0,140,0.0037836634765190296,0.007142857142857143,0.5297128867126641,4.25,0,54.0,28.0,9.0,454.0,80.0,0.008769182586908864,0.0125,0.7015346069527091,3.111111111111111
1988,ALG,42,29,7,0,2.0,2.0,0,528.0,159,0.005025125628140704,0.006289308176100629,0.7989949748743719,4.142857142857143,0,33.0,17.0,4.0,492.0,140.0,0.0037836634765190296,0.007142857142857143,0.5297128867126641,4.25
1992,ALG,35,27,7,2,0.0,2.0,0,573.0,168,0.00430553340774996,0.005952380952380952,0.7233296125019933,3.857142857142857,0,42.0,29.0,7.0,528.0,159.0,0.005025125628140704,0.006289308176100629,0.7989949748743719,4.142857142857143
1996,ALG,45,29,9,3,2.0,4.0,0,604.0,197,0.0042817067769083126,0.005076142131979695,0.8434962350509376,3.2222222222222223,0,35.0,27.0,7.0,573.0,168.0,0.00430553340774996,0.005952380952380952,0.7233296125019933,3.857142857142857
2000,ALG,47,42,10,5,3.0,7.0,0,667.0,199,0.005982905982905983,0.005025125628140704,1.1905982905982906,4.2,0,45.0,29.0,9.0,604.0,197.0,0.0042817067769083126,0.005076142131979695,0.8434962350509376,3.2222222222222223
2004,ALG,61,57,10,0,5.0,12.0,0,669.0,201,0.008307826847398338,0.004975124378109453,1.6698731963270659,5.7,0,47.0,42.0,10.0,667.0,199.0,0.005982905982905983,0.005025125628140704,1.1905982905982906,4.2
2008,ALG,56,44,12,2,0.0,12.0,0,673.0,204,0.0062173237247421225,0.004901960784313725,1.268334039847393,3.6666666666666665,0,61.0,57.0,10.0,669.0,201.0,0.008307826847398338,0.004975124378109453,1.6698731963270659,5.7
2012,ALG,38,29,12,1,2.0,14.0,0,670.0,204,0.004145818441744103,0.004901960784313725,0.845746962115797,2.4166666666666665,0,56.0,44.0,12.0,673.0,204.0,0.0062173237247421225,0.004901960784313725,1.268334039847393,3.6666666666666665
2016,ALG,64,48,13,2,1.0,15.0,0,682.0,205,0.006761515706437527,0.004878048780487805,1.386110719819693,3.6923076923076925,0,38.0,29.0,12.0,670.0,204.0,0.004145818441744103,0.004901960784313725,0.845746962115797,2.4166666666666665
2020,ALG,41,43,15,0,2.0,17.0,0,761.0,205,0.006267307972598747,0.004878048780487805,1.284798134382743,2.8666666666666667,0,64.0,48.0,13.0,682.0,205.0,0.006761515706437527,0.004878048780487805,1.386110719819693,3.6923076923076925
2024,ALG,46,47,15,3,0.0,17.0,0,738.0,204,0.0073760200878844944,0.004901960784313725,1.5047080979284368,3.1333333333333333,0,41.0,43.0,15.0,761.0,205.0,0.006267307972598747,0.004878048780487805,1.284798134382743,2.8666666666666667
1976,AND,3,2,2,0,,0.0,1,444.0,92,0.0005324813631522897,0.010869565217391304,0.04898828541001066,1.0,0,,,,,,,,,
1980,AND,2,1,1,0,0.0,0.0,1,454.0,80,0.00031318509238960227,0.0125,0.02505480739116818,1.0,0,3.0,2.0,2.0,444.0,92.0,0.0005324813631522897,0.010869565217391304,0.04898828541001066,1.0
1984,AND,2,1,1,0,0.0,0.0,1,492.0,140,0.00022256843979523704,0.007142857142857143,0.031159581571333188,1.0,0,2.0,1.0,1.0,454.0,80.0,0.00031318509238960227,0.0125,0.02505480739116818,1.0
1988,AND,3,3,2,0,0.0,0.0,1,528.0,159,0.0005198405822214521,0.006289308176100629,0.08265465257321088,1.5,0,2.0,1.0,1.0,492.0,140.0,0.00022256843979523704,0.007142857142857143,0.031159581571333188,1.0
1992,AND,8,5,5,0,0.0,0.0,1,573.0,168,0.0007973210014351779,0.005952380952380952,0.13394992824110988,1.0,0,3.0,3.0,2.0,528.0,159.0,0.0005198405822214521,0.006289308176100629,0.08265465257321088,1.5
1996,AND,8,7,5,0,0.0,0.0,1,604.0,197,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4,0,8.0,5.0,5.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,1.0
2000,AND,5,5,3,0,0.0,0.0,1,667.0,199,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0,8.0,7.0,5.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.4
2004,AND,6,6,4,0,0.0,0.0,1,669.0,201,0.0008745080891998251,0.004975124378109453,0.17577612592916486,1.5,0,5.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667
2008,AND,5,5,4,0,0.0,0.0,1,673.0,204,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.25,0,6.0,6.0,4.0,669.0,201.0,0.0008745080891998251,0.004975124378109453,0.17577612592916486,1.5
2012,AND,6,6,4,0,0.0,0.0,1,670.0,204,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,0,5.0,5.0,4.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.25
2016,AND,4,4,4,0,0.0,0.0,1,682.0,205,0.0005634596422031273,0.004878048780487805,0.11550922665164108,1.0,0,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5
2020,AND,2,3,2,0,0.0,0.0,1,761.0,205,0.00043725404459991256,0.004878048780487805,0.08963707914298208,1.5,0,4.0,4.0,4.0,682.0,205.0,0.0005634596422031273,0.004878048780487805,0.11550922665164108,1.0
2024,AND,2,4,2,0,0.0,0.0,1,738.0,204,0.0006277463904582549,0.004901960784313725,0.128060263653484,2.0,0,2.0,3.0,2.0,761.0,205.0,0.00043725404459991256,0.004878048780487805,0.08963707914298208,1.5
1980,ANG,11,14,3,0,,0.0,1,454.0,80,0.004384591293454432,0.0125,0.35076730347635454,4.666666666666667,0,,,,,,,,,
1988,ANG,24,27,4,0,0.0,0.0,1,528.0,159,0.004678565239993069,0.006289308176100629,0.7438918731588979,6.75,0,11.0,14.0,3.0,454.0,80.0,0.004384591293454432,0.0125,0.35076730347635454,4.666666666666667
1992,ANG,28,21,6,0,0.0,0.0,1,573.0,168,0.003348748206027747,0.005952380952380952,0.5625896986126615,3.5,0,24.0,27.0,4.0,528.0,159.0,0.004678565239993069,0.006289308176100629,0.7438918731588979,6.75
1996,ANG,28,8,5,0,0.0,0.0,1,604.0,197,0.0011811604901816035,0.005076142131979695,0.2326886165657759,1.6,0,28.0,21.0,6.0,573.0,168.0,0.003348748206027747,0.005952380952380952,0.5625896986126615,3.5
2000,ANG,30,7,5,0,0.0,0.0,1,667.0,199,0.0009971509971509972,0.005025125628140704,0.19843304843304843,1.4,0,28.0,8.0,5.0,604.0,197.0,0.0011811604901816035,0.005076142131979695,0.2326886165657759,1.6
2004,ANG,30,5,5,0,0.0,0.0,1,669.0,201,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.0,0,30.0,7.0,5.0,667.0,199.0,0.0009971509971509972,0.005025125628140704,0.19843304843304843,1.4
2008,ANG,32,8,6,0,0.0,0.0,1,673.0,204,0.0011304224954076585,0.004901960784313725,0.23060618906316235,1.3333333333333333,0,30.0,5.0,5.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.0
2012,ANG,33,10,6,0,0.0,0.0,1,670.0,204,0.0014295925661186562,0.004901960784313725,0.2916368834882059,1.6666666666666667,0,32.0,8.0,6.0,673.0,204.0,0.0011304224954076585,0.004901960784313725,0.23060618906316235,1.3333333333333333
2016,ANG,26,10,7,0,0.0,0.0,1,682.0,205,0.001408649105507818,0.004878048780487805,0.2887730666291027,1.4285714285714286,0,33.0,10.0,6.0,670.0,204.0,0.0014295925661186562,0.004901960784313725,0.2916368834882059,1.6666666666666667
2020,ANG,20,6,5,0,0.0,0.0,1,761.0,205,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.2,0,26.0,10.0,7.0,682.0,205.0,0.001408649105507818,0.004878048780487805,0.2887730666291027,1.4285714285714286
2024,ANG,25,10,7,0,0.0,0.0,1,738.0,204,0.001569365976145637,0.004901960784313725,0.32015065913371,1.4285714285714286,0,20.0,6.0,5.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.2
1976,ANT,10,11,2,0,,0.0,1,444.0,92,0.0029286474973375934,0.010869565217391304,0.2694355697550586,5.5,0,,,,,,,,,
1984,ANT,14,17,3,0,0.0,0.0,1,492.0,140,0.0037836634765190296,0.007142857142857143,0.5297128867126641,5.666666666666667,0,10.0,11.0,2.0,444.0,92.0,0.0029286474973375934,0.010869565217391304,0.2694355697550586,5.5
1988,ANT,15,19,4,0,0.0,0.0,1,528.0,159,0.00329232368740253,0.006289308176100629,0.5234794662970023,4.75,0,14.0,17.0,3.0,492.0,140.0,0.0037836634765190296,0.007142857142857143,0.5297128867126641,5.666666666666667
1992,ANT,13,15,3,0,0.0,0.0,1,573.0,168,0.0023919630043055333,0.005952380952380952,0.4018497847233296,5.0,0,15.0,19.0,4.0,528.0,159.0,0.00329232368740253,0.006289308176100629,0.5234794662970023,4.75
1996,ANT,13,9,4,0,0.0,0.0,1,604.0,197,0.0013288055514543038,0.005076142131979695,0.26177469363649786,2.25,0,13.0,15.0,3.0,573.0,168.0,0.0023919630043055333,0.005952380952380952,0.4018497847233296,5.0
2000,ANT,3,4,2,0,0.0,0.0,1,667.0,199,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0,0,13.0,9.0,4.0,604.0,197.0,0.0013288055514543038,0.005076142131979695,0.26177469363649786,2.25
2004,ANT,5,5,2,0,0.0,0.0,1,669.0,201,0.0007287567409998542,0.004975124378109453,0.14648010494097072,2.5,0,3.0,4.0,2.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0
2008,ANT,5,5,2,0,0.0,0.0,1,673.0,204,0.0007065140596297867,0.004901960784313725,0.14412886816447648,2.5,0,5.0,5.0,2.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,2.5
2012,ANT,4,4,2,0,0.0,0.0,1,670.0,204,0.0005718370264474624,0.004901960784313725,0.11665475339528233,2.0,0,5.0,5.0,2.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,2.5
2016,ANT,8,5,2,0,0.0,0.0,1,682.0,205,0.000704324552753909,0.004878048780487805,0.14438653331455134,2.5,0,4.0,4.0,2.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,2.0
2020,ANT,6,6,4,0,0.0,0.0,1,761.0,205,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.5,0,8.0,5.0,2.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,2.5
2024,ANT,5,5,3,0,0.0,0.0,1,738.0,204,0.0007846829880728185,0.004901960784313725,0.160075329566855,1.6666666666666667,0,6.0,6.0,4.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.5
1908,ANZ,30,20,6,5,,0.0,1,267.0,22,0.029542097488921712,0.045454545454545456,0.6499261447562776,3.3333333333333335,0,,,,,,,,,
1912,ANZ,25,17,4,7,5.0,5.0,0,236.0,27,0.0187018701870187,0.037037037037037035,0.504950495049505,4.25,0,30.0,20.0,6.0,267.0,22.0,0.029542097488921712,0.045454545454545456,0.6499261447562776,3.3333333333333335
1900,ARG,1,1,1,0,,0.0,1,236.0,31,0.0024937655860349127,0.03225806451612903,0.0773067331670823,1.0,0,,,,,,,,,
1908,ARG,1,1,1,0,0.0,0.0,1,267.0,22,0.0014771048744460858,0.045454545454545456,0.03249630723781389,1.0,0,1.0,1.0,1.0,236.0,31.0,0.0024937655860349127,0.03225806451612903,0.0773067331670823,1.0
1920,ARG,1,1,1,0,0.0,0.0,1,363.0,29,0.0008312551953449709,0.034482758620689655,0.024106400665004156,1.0,0,1.0,1.0,1.0,267.0,22.0,0.0014771048744460858,0.045454545454545456,0.03249630723781389,1.0
1924,ARG,77,39,11,6,0.0,0.0,1,292.0,44,0.024103831891223733,0.022727272727272728,1.0605686032138442,3.5454545454545454,0,1.0,1.0,1.0,363.0,29.0,0.0008312551953449709,0.034482758620689655,0.024106400665004156,1.0
1928,ARG,81,40,12,7,6.0,6.0,0,252.0,46,0.02610966057441253,0.021739130434782608,1.2010443864229765,3.3333333333333335,0,77.0,39.0,11.0,292.0,44.0,0.024103831891223733,0.022727272727272728,1.0605686032138442,3.5454545454545454
1932,ARG,32,29,6,0,7.0,13.0,0,268.0,37,0.03314285714285714,0.02702702702702703,1.2262857142857142,4.833333333333333,0,81.0,40.0,12.0,252.0,46.0,0.02610966057441253,0.021739130434782608,1.2010443864229765,3.3333333333333335
1936,ARG,51,31,8,7,0.0,13.0,0,302.0,49,0.015048543689320388,0.02040816326530612,0.7373786407766991,3.875,0,32.0,29.0,6.0,268.0,37.0,0.03314285714285714,0.02702702702702703,1.2262857142857142,4.833333333333333
1948,ARG,199,101,16,7,7.0,20.0,0,312.0,59,0.04568068747173225,0.01694915254237288,2.6951605608322025,6.3125,0,51.0,31.0,8.0,302.0,49.0,0.015048543689320388,0.02040816326530612,0.7373786407766991,3.875
1952,ARG,123,77,15,5,7.0,27.0,0,338.0,69,0.025908479138627188,0.014492753623188406,1.7876850605652759,5.133333333333334,0,199.0,101.0,16.0,312.0,59.0,0.04568068747173225,0.01694915254237288,2.6951605608322025,6.3125
1956,ARG,35,32,9,2,5.0,32.0,0,342.0,72,0.014739751266697375,0.013888888888888888,1.061262091202211,3.5555555555555554,0,123.0,77.0,15.0,338.0,69.0,0.025908479138627188,0.014492753623188406,1.7876850605652759,5.133333333333334
1960,ARG,92,54,15,0,2.0,34.0,0,340.0,84,0.016038016038016037,0.011904761904761904,1.3471933471933473,3.6,0,35.0,32.0,9.0,342.0,72.0,0.014739751266697375,0.013888888888888888,1.061262091202211,3.5555555555555554
1964,ARG,102,78,14,1,0.0,34.0,0,370.0,93,0.02414113277623027,0.010752688172043012,2.245125348189415,5.571428571428571,0,92.0,54.0,15.0,340.0,84.0,0.016038016038016037,0.011904761904761904,1.3471933471933473,3.6
1968,ARG,89,60,12,2,1.0,35.0,0,386.0,112,0.016286644951140065,0.008928571428571428,1.8241042345276874,5.0,0,102.0,78.0,14.0,370.0,93.0,0.02414113277623027,0.010752688172043012,2.245125348189415,5.571428571428571
1972,ARG,92,62,12,1,2.0,37.0,0,439.0,121,0.014055769666742235,0.008264462809917356,1.7007481296758105,5.166666666666667,0,89.0,60.0,12.0,386.0,112.0,0.016286644951140065,0.008928571428571428,1.8241042345276874,5.0
1976,ARG,69,50,12,0,1.0,38.0,0,444.0,92,0.013312034078807242,0.010869565217391304,1.2247071352502663,4.166666666666667,0,92.0,62.0,12.0,439.0,121.0,0.014055769666742235,0.008264462809917356,1.7007481296758105,5.166666666666667
1984,ARG,81,70,14,0,0.0,38.0,0,492.0,140,0.015579790785666592,0.007142857142857143,2.181170709993323,5.0,0,69.0,50.0,12.0,444.0,92.0,0.013312034078807242,0.010869565217391304,1.2247071352502663,4.166666666666667
1988,ARG,118,53,18,2,0.0,38.0,0,528.0,159,0.00918385028591232,0.006289308176100629,1.4602321954600588,2.9444444444444446,0,81.0,70.0,14.0,492.0,140.0,0.015579790785666592,0.007142857142857143,2.181170709993323,5.0
1992,ARG,84,68,17,1,2.0,40.0,0,573.0,168,0.010843565619518419,0.005952380952380952,1.8217190240790944,4.0,0,118.0,53.0,18.0,528.0,159.0,0.00918385028591232,0.006289308176100629,1.4602321954600588,2.9444444444444446
1996,ARG,179,102,20,3,1.0,41.0,0,604.0,197,0.015059796249815443,0.005076142131979695,2.9667798612136425,5.1,0,84.0,68.0,17.0,573.0,168.0,0.010843565619518419,0.005952380952380952,1.8217190240790944,4.0
2000,ARG,142,98,21,4,3.0,44.0,0,667.0,199,0.01396011396011396,0.005025125628140704,2.7780626780626783,4.666666666666667,0,179.0,102.0,20.0,604.0,197.0,0.015059796249815443,0.005076142131979695,2.9667798612136425,5.1
2004,ARG,151,86,22,6,4.0,48.0,0,669.0,201,0.012534615945197494,0.004975124378109453,2.5194578049846963,3.909090909090909,0,142.0,98.0,21.0,667.0,199.0,0.01396011396011396,0.005025125628140704,2.7780626780626783,4.666666666666667
2008,ARG,131,71,19,6,6.0,54.0,0,673.0,204,0.01003249964674297,0.004901960784313725,2.046629927935566,3.736842105263158,0,151.0,86.0,22.0,669.0,201.0,0.012534615945197494,0.004975124378109453,2.5194578049846963,3.909090909090909
2012,ARG,137,66,23,4,6.0,60.0,0,670.0,204,0.009435310936383131,0.004901960784313725,1.924803431022159,2.869565217391304,0,131.0,71.0,19.0,673.0,204.0,0.01003249964674297,0.004901960784313725,2.046629927935566,3.736842105263158
2016,ARG,215,80,26,4,4.0,64.0,0,682.0,205,0.011269192844062545,0.004878048780487805,2.3101845330328215,3.076923076923077,0,137.0,66.0,23.0,670.0,204.0,0.009435310936383131,0.004901960784313725,1.924803431022159,2.869565217391304
2020,ARG,189,61,31,3,4.0,68.0,0,761.0,205,0.008890832240198222,0.004878048780487805,1.8226206092406354,1.967741935483871,0,215.0,80.0,26.0,682.0,205.0,0.011269192844062545,0.004878048780487805,2.3101845330328215,3.076923076923077
