Year,NOC,Squad_Size,Female_Ratio,NOC_Events_Entered,Sport_Diversity,Gold,Silver,Bronze,Total,Lagged_Total_Medals,Global_Unique_Sports,Global_Total_Events,Global_Nations_Count,Global_Actual_Medals_Awarded,Is_Host,Is_Prev_Host,Is_Next_Host,Medal_Share_Won,Event_Participation_Rate
2004,AHO,3,0.0,3,2,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.0044843049327354
2008,AHO,3,0.0,4,3,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0059435364041604
1992,ALB,7,0.2857142857142857,8,4,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0139616055846422
1996,ALB,7,0.5714285714285714,7,5,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0115894039735099
2000,ALB,4,0.5,5,3,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0074962518740629
2004,ALB,7,0.2857142857142857,7,4,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.0104633781763826
2008,ALB,11,0.3636363636363636,12,6,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0178306092124814
2012,ALB,9,0.3333333333333333,9,5,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.0134328358208955
2016,ALB,6,0.5,6,3,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0087976539589442
2021,ALB,9,0.3333333333333333,10,6,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0131406044678055
2024,ALB,8,0.375,9,4,0,0,2,2,0.0,51,738.0,204,1039,0,0,0,0.0019249278152069,0.0121951219512195
1968,ALG,3,0.0,9,2,0,0,0,0,0.0,27,386.0,112,527,0,0,0,0.0,0.0233160621761658
1972,ALG,5,0.0,5,2,0,0,0,0,0.0,31,439.0,121,600,0,0,0,0.0,0.0113895216400911
1980,ALG,54,0.0,28,9,0,0,0,0,0.0,30,454.0,80,631,0,0,0,0.0,0.0616740088105726
1984,ALG,33,0.0,17,4,0,0,2,2,0.0,32,492.0,140,688,0,0,0,0.002906976744186,0.0345528455284552
1988,ALG,42,0.0476190476190476,29,7,0,0,0,0,2.0,34,528.0,159,739,0,0,0,0.0,0.0549242424242424
1992,ALG,35,0.0571428571428571,27,7,1,0,1,2,0.0,37,573.0,168,815,0,0,0,0.0024539877300613,0.0471204188481675
1996,ALG,45,0.1333333333333333,29,9,2,0,1,3,2.0,40,604.0,197,842,0,0,0,0.003562945368171,0.0480132450331125
2000,ALG,47,0.2127659574468085,42,10,1,1,3,5,3.0,43,667.0,199,927,0,0,0,0.0053937432578209,0.0629685157421289
2004,ALG,61,0.2459016393442623,57,10,0,0,0,0,5.0,43,669.0,201,926,0,0,0,0.0,0.085201793721973
2008,ALG,56,0.3928571428571428,44,12,0,1,1,2,0.0,45,673.0,204,958,0,0,0,0.0020876826722338,0.0653789004457652
2012,ALG,38,0.4473684210526316,29,12,1,0,0,1,2.0,43,670.0,204,960,0,0,0,0.0010416666666666,0.0432835820895522
2016,ALG,64,0.15625,48,13,0,2,0,2,1.0,45,682.0,205,972,0,0,0,0.0020576131687242,0.0703812316715542
2021,ALG,41,0.3170731707317073,43,15,0,0,0,0,2.0,53,761.0,205,1080,0,0,0,0.0,0.0565045992115637
2024,ALG,46,0.4130434782608695,47,15,2,0,1,3,0.0,51,738.0,204,1039,0,0,0,0.0028873917228103,0.0636856368563685
1980,AND,2,0.0,1,1,0,0,0,0,0.0,30,454.0,80,631,0,0,0,0.0,0.0022026431718061
1984,AND,2,0.0,1,1,0,0,0,0,0.0,32,492.0,140,688,0,0,0,0.0,0.0020325203252032
1988,AND,3,0.0,3,2,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0056818181818181
1992,AND,8,0.125,5,5,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0087260034904013
1996,AND,8,0.25,7,5,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0115894039735099
2000,AND,5,0.4,5,3,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0074962518740629
2004,AND,6,0.3333333333333333,6,4,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.0089686098654708
2008,AND,5,0.4,5,4,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0074294205052005
2012,AND,6,0.3333333333333333,6,4,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.008955223880597
2016,AND,4,0.5,4,4,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0058651026392961
2021,AND,2,0.5,3,2,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0039421813403416
2024,AND,2,0.5,4,2,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.005420054200542
1988,ANG,24,0.2083333333333333,27,4,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0511363636363636
1992,ANG,28,0.1071428571428571,21,6,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0366492146596858
1996,ANG,28,0.5357142857142857,8,5,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0132450331125827
2000,ANG,30,0.5,7,5,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0104947526236881
2004,ANG,30,0.5333333333333333,5,5,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.007473841554559
2008,ANG,32,0.46875,8,6,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0118870728083209
2012,ANG,33,0.8787878787878788,10,6,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.0149253731343283
2016,ANG,26,0.6923076923076923,10,7,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0146627565982404
2021,ANG,20,0.8,6,5,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0078843626806833
2024,ANG,25,0.68,10,7,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.013550135501355
1984,ANT,14,0.2857142857142857,17,3,0,0,0,0,0.0,32,492.0,140,688,0,0,0,0.0,0.0345528455284552
1988,ANT,15,0.2,19,4,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0359848484848484
1992,ANT,13,0.3076923076923077,15,3,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0261780104712041
1996,ANT,13,0.3846153846153846,9,4,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0149006622516556
2000,ANT,3,0.3333333333333333,4,2,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0059970014992503
2004,ANT,5,0.4,5,2,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.007473841554559
2008,ANT,5,0.2,5,2,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0074294205052005
2012,ANT,4,0.5,4,2,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.0059701492537313
2016,ANT,8,0.25,5,2,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0073313782991202
2021,ANT,6,0.5,6,4,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0078843626806833
2024,ANT,5,0.4,5,3,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.0067750677506775
1912,ANZ,25,0.08,17,4,2,2,3,7,5.0,21,236.0,27,312,0,0,0,0.0224358974358974,0.0720338983050847
1908,ARG,1,0.0,1,1,0,0,0,0,0.0,28,267.0,22,324,0,0,0,0.0,0.0037453183520599
1920,ARG,1,0.0,1,1,0,0,0,0,0.0,32,363.0,29,438,0,0,0,0.0,0.0027548209366391
1924,ARG,77,0.0,39,11,1,3,2,6,0.0,26,292.0,44,378,0,0,0,0.0158730158730158,0.1335616438356164
1928,ARG,81,0.0,40,12,3,3,1,7,6.0,23,252.0,46,327,0,0,0,0.0214067278287461,0.1587301587301587
1932,ARG,32,0.0,29,6,0,0,0,0,7.0,23,268.0,37,370,0,0,0,0.0,0.1082089552238805
1936,ARG,51,0.0196078431372549,31,8,2,2,3,7,0.0,28,302.0,49,422,0,0,0,0.0165876777251184,0.1026490066225165
1948,ARG,199,0.0552763819095477,101,16,3,3,1,7,7.0,26,312.0,59,411,0,0,0,0.0170316301703163,0.3237179487179487
1952,ARG,123,0.065040650406504,77,15,1,2,2,5,7.0,26,338.0,69,459,0,0,0,0.0108932461873638,0.2278106508875739
1956,ARG,35,0.0285714285714285,32,9,0,1,1,2,5.0,26,342.0,72,469,0,0,0,0.0042643923240938,0.0935672514619883
1960,ARG,92,0.0108695652173913,54,15,0,0,0,0,2.0,26,340.0,84,461,0,0,0,0.0,0.1588235294117647
1964,ARG,102,0.0588235294117647,78,14,0,1,0,1,0.0,28,370.0,93,504,0,0,0,0.0019841269841269,0.2108108108108108
1968,ARG,89,0.0561797752808988,60,12,0,0,2,2,1.0,27,386.0,112,527,0,0,0,0.0037950664136622,0.155440414507772
1972,ARG,92,0.0434782608695652,62,12,0,1,0,1,2.0,31,439.0,121,600,0,0,0,0.0016666666666666,0.1412300683371298
1976,ARG,69,0.0579710144927536,50,12,0,0,0,0,1.0,30,444.0,92,613,0,0,0,0.0,0.1126126126126126
1984,ARG,81,0.1234567901234567,70,14,0,0,0,0,0.0,32,492.0,140,688,0,0,0,0.0,0.1422764227642276
1988,ARG,118,0.211864406779661,53,18,0,1,1,2,0.0,34,528.0,159,739,0,0,0,0.0027063599458728,0.1003787878787878
1992,ARG,84,0.2023809523809523,68,17,0,0,1,1,2.0,37,573.0,168,815,0,0,0,0.0012269938650306,0.1186736474694589
1996,ARG,179,0.2625698324022346,102,20,0,2,1,3,1.0,40,604.0,197,842,0,0,0,0.003562945368171,0.1688741721854304
2000,ARG,142,0.3098591549295774,98,21,0,2,2,4,3.0,43,667.0,199,927,0,0,0,0.0043149946062567,0.1469265367316342
2004,ARG,151,0.2980132450331126,86,22,2,0,4,6,4.0,43,669.0,201,926,0,0,0,0.0064794816414686,0.1285500747384155
2008,ARG,131,0.3969465648854962,71,19,2,0,4,6,6.0,45,673.0,204,958,0,0,0,0.0062630480167014,0.1054977711738484
2012,ARG,137,0.291970802919708,66,23,1,1,2,4,6.0,43,670.0,204,960,0,0,0,0.0041666666666666,0.0985074626865671
2016,ARG,215,0.3488372093023256,80,26,3,1,0,4,4.0,45,682.0,205,972,0,0,0,0.0041152263374485,0.1173020527859237
2021,ARG,189,0.3068783068783068,61,31,0,1,2,3,4.0,53,761.0,205,1080,0,0,0,0.0027777777777777,0.0801576872536136
2024,ARG,143,0.2307692307692307,41,25,1,1,1,3,3.0,51,738.0,204,1039,0,0,0,0.0028873917228103,0.0555555555555555
2000,ARM,25,0.08,26,10,0,0,1,1,2.0,43,667.0,199,927,0,0,0,0.0010787486515641,0.0389805097451274
2004,ARM,18,0.1111111111111111,19,8,0,0,0,0,1.0,43,669.0,201,926,0,0,0,0.0,0.0284005979073243
2008,ARM,24,0.0833333333333333,24,7,0,1,4,5,0.0,45,673.0,204,958,0,0,0,0.0052192066805845,0.0356612184249628
2012,ARM,24,0.1666666666666666,30,9,0,1,1,2,5.0,43,670.0,204,960,0,0,0,0.0020833333333333,0.044776119402985
2016,ARM,31,0.2258064516129032,32,8,1,3,0,4,2.0,45,682.0,205,972,0,0,0,0.0041152263374485,0.0469208211143695
2021,ARM,17,0.1764705882352941,19,8,0,2,2,4,4.0,53,761.0,205,1080,0,0,0,0.0037037037037037,0.0249671484888304
2024,ARM,15,0.1333333333333333,16,7,0,3,1,4,4.0,51,738.0,204,1039,0,0,0,0.0038498556304138,0.021680216802168
1992,ARU,5,0.2,4,3,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0069808027923211
1996,ARU,3,0.0,3,3,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0049668874172185
2000,ARU,5,0.4,5,3,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0074962518740629
2004,ARU,4,0.25,4,3,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.0059790732436472
2008,ARU,2,0.0,2,2,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0029717682020802
2012,ARU,4,0.25,4,3,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.0059701492537313
2016,ARU,7,0.5714285714285714,6,4,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0087976539589442
2021,ARU,3,0.3333333333333333,4,2,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0052562417871222
2024,ARU,6,0.3333333333333333,7,4,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.0094850948509485
1992,ASA,3,0.0,3,2,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0052356020942408
1996,ASA,7,0.1428571428571428,6,5,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.009933774834437
2000,ASA,4,0.25,4,3,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0059970014992503
2004,ASA,3,0.3333333333333333,3,2,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.0044843049327354
2008,ASA,4,0.5,4,3,0,0,0,0,0.0,45,673.0,204,958,0,0,0,0.0,0.0059435364041604
2012,ASA,4,0.25,4,3,0,0,0,0,0.0,43,670.0,204,960,0,0,0,0.0,0.0059701492537313
2016,ASA,4,0.25,4,3,0,0,0,0,0.0,45,682.0,205,972,0,0,0,0.0,0.0058651026392961
2021,ASA,6,0.1666666666666666,5,4,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0065703022339027
2024,ASA,2,0.5,2,2,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.002710027100271
1900,AUS,2,0.0,6,2,2,0,3,5,2.0,25,236.0,31,284,0,0,0,0.0176056338028169,0.0254237288135593
1904,AUS,2,0.0,6,2,0,3,1,4,5.0,21,224.0,15,280,0,0,0,0.0142857142857142,0.0267857142857142
1920,AUS,13,0.0769230769230769,19,5,0,2,1,3,4.0,32,363.0,29,438,0,0,0,0.0068493150684931,0.0523415977961432
1924,AUS,35,0.0,30,8,3,1,2,6,3.0,26,292.0,44,378,0,0,0,0.0158730158730158,0.1027397260273972
1928,AUS,18,0.2222222222222222,26,6,1,2,1,4,6.0,23,252.0,46,327,0,0,0,0.0122324159021406,0.1031746031746031
1932,AUS,12,0.3333333333333333,16,5,0,0,0,0,4.0,23,268.0,37,370,0,0,0,0.0,0.0597014925373134
1936,AUS,32,0.125,26,7,0,0,1,1,0.0,28,302.0,49,422,0,0,0,0.0023696682464454,0.086092715231788
1948,AUS,75,0.12,52,11,2,6,5,13,1.0,26,312.0,59,411,0,0,0,0.0316301703163017,0.1666666666666666
1952,AUS,81,0.1234567901234567,67,12,6,2,3,11,13.0,26,338.0,69,459,0,0,1,0.0239651416122004,0.1982248520710059
1956,AUS,298,0.1476510067114094,143,19,13,8,14,35,11.0,26,342.0,72,469,1,0,0,0.0746268656716417,0.4181286549707602
1960,AUS,189,0.1534391534391534,122,17,0,0,0,0,35.0,26,340.0,84,461,0,1,0,0.0,0.3588235294117647
1964,AUS,243,0.1646090534979424,133,19,6,2,10,18,0.0,28,370.0,93,504,0,0,0,0.0357142857142857,0.3594594594594594
1968,AUS,128,0.1875,105,16,5,7,5,17,18.0,27,386.0,112,527,0,0,0,0.032258064516129,0.272020725388601
1972,AUS,168,0.1726190476190476,110,20,8,7,2,17,17.0,31,439.0,121,600,0,0,0,0.0283333333333333,0.2505694760820046
1976,AUS,180,0.1888888888888888,115,20,0,1,4,5,17.0,30,444.0,92,613,0,0,0,0.0081566068515497,0.259009009009009
1980,AUS,120,0.2333333333333333,92,17,2,2,5,9,5.0,30,454.0,80,631,0,0,0,0.0142630744849445,0.2026431718061674
1984,AUS,242,0.3016528925619834,137,22,4,8,12,24,9.0,32,492.0,140,688,0,0,0,0.0348837209302325,0.2784552845528455
1988,AUS,252,0.2857142857142857,145,24,3,6,5,14,24.0,34,528.0,159,739,0,0,0,0.0189445196211096,0.2746212121212121
1992,AUS,278,0.3309352517985611,153,25,7,9,11,27,14.0,37,573.0,168,815,0,0,0,0.0331288343558282,0.2670157068062827
1996,AUS,417,0.4004796163069544,211,26,9,9,23,41,27.0,40,604.0,197,842,0,0,1,0.0486935866983372,0.3493377483443708
2000,AUS,617,0.4473257698541329,270,34,16,25,17,58,41.0,43,667.0,199,927,1,0,0,0.0625674217907227,0.4047976011994003
2004,AUS,470,0.4297872340425532,219,33,17,16,17,50,58.0,43,669.0,201,926,0,1,0,0.0539956803455723,0.3273542600896861
2008,AUS,432,0.4606481481481481,219,31,14,15,17,46,50.0,45,673.0,204,958,0,0,0,0.0480167014613778,0.325408618127786
2012,AUS,405,0.454320987654321,208,29,8,15,12,35,46.0,43,670.0,204,960,0,0,0,0.0364583333333333,0.3104477611940298
2016,AUS,420,0.5047619047619047,194,31,8,11,10,29,35.0,45,682.0,205,972,0,0,0,0.029835390946502,0.2844574780058651
2021,AUS,489,0.5337423312883436,193,41,17,7,22,46,29.0,53,761.0,205,1080,0,0,0,0.0425925925925925,0.2536136662286465
2024,AUS,474,0.5569620253164557,205,44,18,19,16,53,46.0,51,738.0,204,1039,0,0,0,0.0510105871029836,0.2777777777777778
1900,AUT,16,0.0,17,4,0,3,3,6,5.0,25,236.0,31,284,0,0,0,0.0211267605633802,0.0720338983050847
1904,AUT,2,0.0,7,2,1,1,1,3,6.0,21,224.0,15,280,0,0,0,0.0107142857142857,0.03125
1908,AUT,7,0.0,10,4,0,0,1,1,3.0,28,267.0,22,324,0,0,0,0.0030864197530864,0.0374531835205992
1912,AUT,85,0.0705882352941176,46,12,0,2,2,4,1.0,21,236.0,27,312,0,0,0,0.0128205128205128,0.1949152542372881
1924,AUT,49,0.0612244897959183,27,8,0,3,1,4,4.0,26,292.0,44,378,0,0,0,0.0105820105820105,0.0924657534246575
1928,AUT,52,0.0961538461538461,31,12,2,0,1,3,4.0,23,252.0,46,327,0,0,0,0.0091743119266055,0.123015873015873
1932,AUT,9,0.2222222222222222,12,6,0,0,0,0,3.0,23,268.0,37,370,0,0,0,0.0,0.044776119402985
1936,AUT,174,0.0977011494252873,95,18,5,7,5,17,0.0,28,302.0,49,422,0,0,0,0.0402843601895734,0.314569536423841
1948,AUT,114,0.2280701754385964,69,16,1,0,3,4,17.0,26,312.0,59,411,0,0,0,0.0097323600973236,0.2211538461538461
1952,AUT,112,0.1875,70,16,0,1,1,2,4.0,26,338.0,69,459,0,0,0,0.0043572984749455,0.2071005917159763
1956,AUT,34,0.1470588235294117,36,12,0,0,2,2,2.0,26,342.0,72,469,0,0,0,0.0042643923240938,0.1052631578947368
1960,AUT,103,0.203883495145631,81,15,0,0,0,0,2.0,26,340.0,84,461,0,0,0,0.0,0.238235294117647
1964,AUT,56,0.1964285714285714,54,14,0,0,0,0,0.0,28,370.0,93,504,0,0,0,0.0,0.1459459459459459
1968,AUT,43,0.1860465116279069,37,12,0,2,2,4,0.0,27,386.0,112,527,0,0,0,0.0075901328273244,0.0958549222797927
1972,AUT,111,0.1261261261261261,68,15,0,1,2,3,4.0,31,439.0,121,600,0,0,0,0.005,0.1548974943052392
1976,AUT,60,0.1,44,15,0,0,1,1,3.0,30,444.0,92,613,0,0,0,0.0016313213703099,0.0990990990990991
1980,AUT,83,0.2289156626506024,51,16,1,2,1,4,1.0,30,454.0,80,631,0,0,0,0.0063391442155309,0.1123348017621145
1984,AUT,102,0.3039215686274509,72,18,1,1,1,3,4.0,32,492.0,140,688,0,0,0,0.004360465116279,0.1463414634146341
1988,AUT,73,0.0958904109589041,62,17,1,0,0,1,3.0,34,528.0,159,739,0,0,0,0.0013531799729364,0.1174242424242424
1992,AUT,102,0.3039215686274509,68,17,0,2,0,2,1.0,37,573.0,168,815,0,0,0,0.0024539877300613,0.1186736474694589
1996,AUT,72,0.2222222222222222,53,15,0,1,2,3,2.0,40,604.0,197,842,0,0,0,0.003562945368171,0.0877483443708609
2000,AUT,92,0.4021739130434782,68,17,2,1,0,3,3.0,43,667.0,199,927,0,0,0,0.0032362459546925,0.1019490254872563
2004,AUT,74,0.2702702702702703,56,18,2,4,1,7,3.0,43,669.0,201,926,0,0,0,0.0075593952483801,0.0837070254110612
2008,AUT,70,0.4285714285714285,62,16,0,1,2,3,7.0,45,673.0,204,958,0,0,0,0.0031315240083507,0.0921248142644873
2012,AUT,70,0.4428571428571428,69,19,0,0,0,0,3.0,43,670.0,204,960,0,0,0,0.0,0.1029850746268656
2016,AUT,71,0.4788732394366197,61,23,0,0,1,1,0.0,45,682.0,205,972,0,0,0,0.0010288065843621,0.0894428152492668
2021,AUT,76,0.5131578947368421,70,24,1,1,5,7,1.0,53,761.0,205,1080,0,0,0,0.0064814814814814,0.0919842312746386
2024,AUT,84,0.4404761904761904,76,26,2,0,3,5,7.0,51,738.0,204,1039,0,0,0,0.0048123195380173,0.1029810298102981
2000,AZE,31,0.1935483870967742,32,8,2,0,1,3,1.0,43,667.0,199,927,0,0,0,0.0032362459546925,0.047976011994003
2004,AZE,36,0.1666666666666666,36,10,1,0,4,5,3.0,43,669.0,201,926,0,0,0,0.0053995680345572,0.0538116591928251
2008,AZE,44,0.3181818181818182,37,10,1,1,4,6,5.0,45,673.0,204,958,0,0,0,0.0062630480167014,0.0549777117384844
2012,AZE,52,0.2692307692307692,57,15,2,2,5,9,6.0,43,670.0,204,960,0,0,0,0.009375,0.0850746268656716
2016,AZE,56,0.25,62,15,1,7,10,18,9.0,45,682.0,205,972,0,0,0,0.0185185185185185,0.0909090909090909
2021,AZE,44,0.3636363636363636,51,14,0,3,4,7,18.0,53,761.0,205,1080,0,0,0,0.0064814814814814,0.0670170827858081
2024,AZE,48,0.4166666666666667,41,15,2,2,3,7,7.0,51,738.0,204,1039,0,0,0,0.0067372473532242,0.0555555555555555
1956,BAH,4,0.0,4,2,0,0,1,1,0.0,26,342.0,72,469,0,0,0,0.0021321961620469,0.0116959064327485
1960,BAH,13,0.0,8,2,0,0,0,0,1.0,26,340.0,84,461,0,0,0,0.0,0.0235294117647058
1964,BAH,11,0.0,6,2,1,0,0,1,0.0,28,370.0,93,504,0,0,0,0.0019841269841269,0.0162162162162162
1968,BAH,16,0.0,12,3,0,0,0,0,1.0,27,386.0,112,527,0,0,0,0.0,0.0310880829015544
1972,BAH,20,0.05,13,4,0,0,0,0,0.0,31,439.0,121,600,0,0,0,0.0,0.0296127562642369
1976,BAH,11,0.0909090909090909,13,3,0,0,0,0,0.0,30,444.0,92,613,0,0,0,0.0,0.0292792792792792
1984,BAH,22,0.2272727272727272,23,4,0,0,0,0,0.0,32,492.0,140,688,0,0,0,0.0,0.0467479674796747
1988,BAH,16,0.25,15,5,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0284090909090909
1992,BAH,14,0.1428571428571428,13,4,0,0,1,1,0.0,37,573.0,168,815,0,0,0,0.0012269938650306,0.0226876090750436
1996,BAH,26,0.2692307692307692,17,4,0,1,0,1,1.0,40,604.0,197,842,0,0,0,0.001187648456057,0.0281456953642384
2000,BAH,25,0.36,18,3,2,0,1,3,1.0,43,667.0,199,927,0,0,0,0.0032362459546925,0.0269865067466266
2004,BAH,22,0.4090909090909091,18,3,1,0,1,2,3.0,43,669.0,201,926,0,0,0,0.0021598272138228,0.0269058295964125
2008,BAH,25,0.36,22,4,0,1,1,2,2.0,45,673.0,204,958,0,0,0,0.0020876826722338,0.0326894502228826
2012,BAH,21,0.4285714285714285,16,2,1,0,0,1,2.0,43,670.0,204,960,0,0,0,0.0010416666666666,0.0238805970149253
2016,BAH,29,0.4137931034482758,20,3,1,0,1,2,1.0,45,682.0,205,972,0,0,0,0.0020576131687242,0.0293255131964809
2021,BAH,16,0.625,12,2,2,0,0,2,2.0,53,761.0,205,1080,0,0,0,0.0018518518518518,0.0157687253613666
2024,BAH,19,0.4210526315789473,13,2,0,0,0,0,2.0,51,738.0,204,1039,0,0,0,0.0,0.0176151761517615
1988,BAN,6,0.0,8,2,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0151515151515151
1992,BAN,6,0.1666666666666666,6,3,0,0,0,0,0.0,37,573.0,168,815,0,0,0,0.0,0.0104712041884816
1996,BAN,4,0.25,4,3,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0066225165562913
